Date,건설업_pc1,부동산 시장_pc1,채권금리_pc1,주식시장_pc1,물가_pc1,경제_pc1,주택전세가격지수,주택 거래량,주택매매가격지수
2013-01-01,-0.7418655278856634,0.7783999318514664,0.6130318799220265,-0.4405537959561998,-0.23529630835568985,-0.7301717582177399,0.0,0.0,0.004550513978917259
2013-02-01,-0.45154142939169384,0.74293484998088,0.5760229585563345,-0.36811312481346237,-0.20006327864979692,-0.7100444389642329,0.00970873786407811,0.06815259002273,0.003208276042689917
2013-03-01,-0.5234301434235656,0.6927429661850051,0.4843976891591362,-0.3511240718600378,-0.21616764923385945,-0.5538198958016022,0.024271844660193942,0.17538730709415,0.00216067570221945
2013-04-01,-0.3689735742886017,0.6654786255785615,0.44857741245841315,-0.35673811540775446,-0.2317024374194756,-0.4364563788122161,0.04368932038834927,0.2811714918052398,0.0022261507234992983
2013-05-01,-0.4225494099624441,0.601514795074399,0.48196380218059626,-0.3213124034374188,-0.24204855864804803,-0.410528963430036,0.05339805825242738,0.3747607369302548,0.0018987756171022774
2013-06-01,-0.44469279033847076,0.5545528197881935,0.7474280858720392,-0.4622457470547453,-0.2479236946417419,-0.303599841736307,0.0631067961165046,0.5982922598396937,0.0009821253191906187
2013-07-01,-0.16249127212261444,0.5620957884463322,0.857306778788137,-0.3916227395749473,-0.23916423185604974,-0.38604241902260517,0.07281553398058271,0.1186221437971049,0.0009166502979116586
2013-08-01,-0.3154148152890772,0.5523573490763816,0.9133231268850404,-0.4380222891572549,-0.2153978596321224,-0.4378667654049815,0.09223300970873716,0.10402709654264863,0.0
2013-09-01,-0.17111468620844264,0.5181415687759976,0.8674614180466996,-0.3823076992065285,-0.21006923092930843,-0.4341593631579111,0.11165048543689338,0.1202820313434621,0.0012112878936685334
2013-10-01,-0.4304598795975784,0.48773714292015224,0.8119155635677724,-0.37127300079847336,-0.2340708875300133,-0.4288358584814823,0.14077669902912593,0.37742253858117003,0.005892751915144601
2013-11-01,-0.3906049854978997,0.4682731411174559,0.9125061379031113,-0.3860343087294756,-0.24095042868908076,-0.414339041635371,0.16019417475728126,0.34766419428161266,0.009919465723826626
2013-12-01,-0.2414693995612368,0.4270660510076621,0.9351717932692969,-0.42413695033141796,-0.2287526630557049,-0.43067354213157927,0.17961165048543748,0.4455003588946046,0.014371767170824334
2014-01-01,-0.5565370407303528,0.39447639511941535,0.9209825493024999,-0.43371098950346876,-0.19720589145333636,-0.5984055682975389,0.20388349514563142,0.25491236990070587,0.016990768021999614
2014-02-01,-0.24726367966141324,0.31603770266990344,0.8553505024885693,-0.39785911076829605,-0.18174335079116158,-0.5944098331736019,0.22330097087378675,0.35283825816485226,0.020755581745564022
2014-03-01,-0.09943694278621017,0.2601112574063569,0.869059885263514,-0.3780272506869179,-0.17477822241645077,-0.49310326381545083,0.24271844660194208,0.3836732862782629,0.02730308387350222
2014-04-01,-0.2284988877742773,0.22289718486750276,0.8647265488110308,-0.36391890106034797,-0.1765152468336077,-0.44058392213587605,0.2524271844660193,0.38303774374925226,0.032115497937537096
2014-05-01,-0.47240727522462295,0.2551025711422795,0.789399127497712,-0.36714044246028826,-0.16981963772193176,-0.4617695558340165,0.2524271844660193,0.27505532958487855,0.03365416093760221
2014-06-01,-0.04995877438978563,0.2580819366259476,0.7011892390761156,-0.3770344112730568,-0.17405827404372906,-0.4033835740907214,0.2572815533980579,0.2730888862304104,0.03529103646958687
2014-07-01,-0.23960595248379715,0.2624713234455521,0.5412723207630873,-0.34590607183429845,-0.16528614037897713,-0.44197443473591275,0.2621359223300965,0.3404638712764685,0.037418974661166615
2014-08-01,-0.44877820994946943,0.17666449834469575,0.5445311064228611,-0.30252441308981776,-0.1607080039212589,-0.45387643438142994,0.27184466019417464,0.3475221318339514,0.04056177568257713
2014-09-01,-0.1261817838768977,0.09360542245630821,0.46103567124931905,-0.31943737126634913,-0.17449016134696038,-0.4275352475547248,0.28155339805825275,0.40253020696255537,0.04697832776795652
2014-10-01,-0.14427752371919286,0.078190441186947,0.29796605851884034,-0.3636523761220692,-0.208837939176239,-0.37614800945729365,0.2961165048543686,0.5641075487498505,0.05391868002357114
2014-11-01,-0.45227929217551777,0.05141973986097082,0.2315932820143131,-0.3753059318578243,-0.22694658678993634,-0.30741254612875535,0.3106796116504853,0.420945986362005,0.05869835657696587
